Bank,Ticker,AI_Score,Rule_AI_Score,LLM_AI_Score,AI_Score_Normalized,Evidence,Evidence_Source,signal_count,llm_confidence,missing_sources,num_transcripts,num_10k_docs
SouthState Bank Corp,SSB,3.6,4.3,2.6,6.3,a lack of liquidity or inability to effectively manage liquidity risk,10-K:2025_Q4,21,0.41,none,8,2
State Street Corp,STT,4.1,4.7,3.1,7.6,Regulatory and regulatory risks,10-K:2025_Q4,17,0.47,none,8,2
Synchrony Financial,SYF,3.6,4.2,2.6,6.3,INDUSTRY GLOSSARY,transcript:2025_Q2,16,0.43,none,8,2
Truist Financial Corp,TFC,4.0,4.0,4.0,7.2,78,10-K:2024_Q4,17,0.53,none,8,2
Umb Financial Corp,UMBF,2.0,1.8,2.3,2.3,n,transcript:2024_Q2,3,0.41,none,8,2
Us Bancorp \De\,USB,2.1,1.9,2.4,2.6,nRubric:n- 1-2: no meaningful AI mentionn- 3-4: passing or vague AI mentionn- 5-6: repeated AI/ML use cases in operationsn- 7-8: clear enterprise deployment/investment across functionsn- 9-10: AI is a major strategic dif,transcript:2025_Q1,6,0.43,none,8,2
Valley National Bancorp,VLY,2.7,2.6,2.8,3.9,n,10-K:2024_Q4,9,0.45,none,8,2
Western Alliance Bancorporation,WAL,2.8,2.4,3.3,4.1,nRubric:n- 1-2: no meaningful AI mentionn- 3-4: passing or vague AI mentionn- 5-6: repeated AI/ML use cases in operationsn- 7-8: clear enterprise deployment/investment across functionsn- 9-10: AI is a major strategic dif,transcript:2025_Q3,9,0.47,none,8,2
Webster Financial Corp,WBS,3.3,3.7,2.8,5.4,nRubric:n- 1-2: no meaningful AI mentionn- 3-4: passing or vague AI mentionn- 5-6: repeated AI/ML use cases in operationsn- 7-8: clear enterprise deployment/investment across functionsn- 9-10: AI is a major strategic dif,transcript:2024_Q2,19,0.45,none,8,2
Wells Fargo & Company/Mn,WFC,1.6,1.3,2.0,1.1,n,transcript:2024_Q2,3,0.43,none,8,2
Wintrust Financial Corp,WTFC,2.6,2.7,2.4,3.6,generative AI.,transcript:2024_Q2,15,0.43,none,8,2
"Zions Bancorporation, National Association",ZION,2.1,1.9,2.5,2.6,INDUSTRY GLOSSARY,transcript:2025_Q2,8,0.43,none,8,2
