Ticker,Bank,AI_Summary,Confidence,Theme_Tags,Citations,Retrieved_Chunk_Count,Structured_Ref_Count,Latest_Call_Report_Date,Latest_Assets,Latest_Deposits,Latest_Net_Income,Model,Device
CFR,"Cullen/Frost Bankers, Inc.","Cullen/Frost Bankers, Inc. (CFR) believes that good corporate governance is critical to their long-term success. They have adopted corporate governance policies and procedures to protect and enhance their corporate integrity. CFR has refreshed its board and revised its Insider Trading Policy to provide more robust guidance on trading. They have also established a Responsible AI Council to mitigate the risks of AI and ensure ethical development and use of AI. CFR relies on certain external vendors for products and services, and these vendors are sources of operational, cybersecurity, and information security risks. They face reputational risk due to negative public opinion. CFR is concerned about the risks associated with technological change, including the potential for cyber-attacks and the use of artificial intelligence.",1.0,"corporate governance,AI governance,vendor risk,cybersecurity,reputational risk,technology risk",CFR_def_14a_CFR_DEF14A_2023_Q4__sec_020__chunk_0000 | CFR_10_k_CFR_10-K_2025_Q4__sec_015__chunk_0028 | CFR_10_k_CFR_10-K_2025_Q4__sec_015__chunk_0018 | CFR_10_k_CFR_10-K_2024_Q4__sec_014__chunk_0018 | CFR_10_k_CFR_10-K_2025_Q4__sec_015__chunk_0025 | CFR_10_k_CFR_10-K_2024_Q4__sec_014__chunk_0025,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
CMA,Comerica Inc,"artificial intelligence and automation within the industry. The ability to access and use technology is an increasingly important competitive factor in the financial services industry, and having the right technology is a critically important component to customer satisfaction. In addition, the efficient and effective utilization of technology enables financial institutions to reduce costs. Comerica's future success depends, in part, upon its ability to address the needs of its customers by usin",0.2,,CMA_10_k_CMA_10-K_2024_Q4__sec_025__chunk_0001 | CMA_10_k_CMA_10-K_2024_Q4__sec_025__chunk_0000 | CMA_10_k_CMA_10-K_2024_Q4__sec_023__chunk_0001,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
COF,Capital One Financial Corp,"Capital One Financial Corporation (COF) faces risks related to its operational, technological, and organizational infrastructure, including the use of AI. The company also mentions risks from cyber-attacks, security incidents, and the potential for increased costs, reductions in revenue, reputational damage, legal exposure, and business disruptions due to these events. Additionally, COF notes risks from the extensive use of models and data, as well as from its evolving use of AI, including the potential for fraudulent activity, compliance with new and existing laws, and the accuracy of the models, AI, and data.",1.0,"risk_management,cybersecurity,fraud,regulatory_compliance,data_protection,AI",COF_10_q_COF_10-Q_2025_Q2__sec_168__chunk_0003 | COF_10_q_COF_10-Q_2025_Q2__sec_068__chunk_0003 | COF_10_q_COF_10-Q_2025_Q2__sec_075__chunk_0014 | COF_10_k_COF_10-K_2025_Q4__sec_024__chunk_0008 | COF_10_k_COF_10-K_2025_Q4__sec_024__chunk_0012,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
COLB,"Columbia Banking System, Inc.","Columbia Banking System, Inc. (COLB) says that they are using AI to enhance their embedded banking capabilities, improve operational effectiveness, and attract new business. They are also studying legislative changes and proposals surrounding stablecoin. Columbia is investing in Pacific Premier's existing solutions to reinvest a portion of the 2024 expense initiative reductions into growing their density in Southern California. Columbia is also studying the legal and regulatory environment relating to AI, including the development and use of AI technology by bad actors to commit fraud and misappropriate funds. Columbia is also exposed to risks arising from the use of AI technologies by bad actors to commit fraud and misappropriate funds and to facilitate cyberattacks.",1.0,"AI use in banking,Operational efficiency,Legislative changes,Cybersecurity,Regulatory risks,Incentive compensation,Community development strategy",17266 | 17266 | 17266 | 17266 | 17266 | 17266 | 17266 | 17266,6,8,20251231,66821352,54336279,580872,Qwen/Qwen2.5-1.5B-Instruct,mps
DFS,Discover Financial Services,"DFS says that they are investing in technology such as generative artificial intelligence (AI) to maintain a competitive business, integrate newly-acquired businesses, and establish scalable operations. They also mention that they are facing increasing risk related to information and data security as they increase acceptance of the Discover card internationally, expand their suite of online digital banking products, enhance their mobile payment technologies, acquire new or outsource some of their business operations, expand their internal usage of web-based products and applications, and otherwise attempt to keep pace with rapid technological advancements. They also mention that they are facing substantial and increasingly intense competition in the payments industry, both from traditional and alternative payment providers.",1.0,"AI investments,Competition,Data security,Technology,Risk management",DFS_10_k_DFS_10-K_2023_Q4__sec_010__chunk_0088 | DFS_def_14a_DFS_DEF14A_2024_Q2__sec_032__chunk_0001 | DFS_def_14a_DFS_DEF14A_2024_Q2__sec_033__chunk_0000 | DFS_10_k_DFS_10-K_2024_Q4__sec_010__chunk_0079 | DFS_10_k_DFS_10-K_2024_Q4__sec_010__chunk_0046,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
EWBC,East West Bancorp Inc,"from basic to powerful. We have one group focused on running our current AI solutions and implementation of successful use cases that can improve operational effectiveness and employee efficiency, and another group that focuses on fintech partnerships and longer-term emerging opportunities. For example, we are evaluating the legislative changes and proposals surrounding stablecoin. We are studying and monitoring developments, so we are ready to make informed decisions when it's time to act. We c",0.2,,EWBC_transcript_2024_Q2__sec_001__chunk_0003 | EWBC_transcript_2025_Q4__sec_039__chunk_0000 | EWBC_transcript_2024_Q2__sec_001__chunk_0002,6,8,20251231,79661753,67208343,1333712,Qwen/Qwen2.5-1.5B-Instruct,mps
FCNCA,First Citizens Bancshares Inc,"First Citizens Bancshares Inc (FCNCA) says that they are using AI to optimize their balance sheet, reduce lower-return assets, and reallocate capital to strategic lending and relationship growth areas. They also mention the use of generative artificial intelligence (GenAI) and proprietary or next-gen artificial intelligence (AgenTik AI) for operational and client-facing enhancements. The bank is also subject to various regulations related to AI, including the use of AI in the housing and consumer financial markets, and the implementation of data protection laws or regulations.",1.0,"AI use in banking,AI optimization of balance sheet,AI for strategic lending and relationship growth,AI for operational and client-facing enhancements,Regulatory compliance with AI,Data protection laws and regulations",FCNCA_transcript_2025_Q3__sec_000__chunk_0005 | FCNCA_transcript_2025_Q2__sec_000__chunk_0005 | FCNCA_10_k_FCNCA_10-K_2024_Q4__sec_010__chunk_0056 | FCNCA_10_k_FCNCA_10-K_2024_Q4__sec_010__chunk_0055 | FCNCA_10_k_FCNCA_10-K_2023_Q4__sec_008__chunk_0062 | FCNCA_10_k_FCNCA_10-K_2024_Q4__sec_010__chunk_0054,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
FHN,First Horizon Corp,"Table of Contents , which in turn includes the risks from cyber fraud, cyber theft, cyber vandalism, cyber ransom, data and system security, and other unauthorized incursions into FHN's IT systems. IT risk management also includes IT system reliability, data integrity, IT aspects of regulatory compliance, and risks associated with the use of artificial intelligence tools and systems. The discussion in this section focuses on cybersecurity. Additional information on this topic is presented in Cyb",0.2,,FHN_10_k_FHN_10-K_2024_Q4__sec_186__chunk_0000 | FHN_def_14a_FHN_DEF14A_2025_Q2__sec_039__chunk_0001 | FHN_transcript_2024_Q2__sec_002__chunk_0003,6,8,20251231,83572753,68096612,1108723,Qwen/Qwen2.5-1.5B-Instruct,mps
FITB,Fifth Third Bancorp,"Fifth Third Bancorp (FITB) says that the use of artificial intelligence (AI) is critical to addressing customer needs and creating efficiencies in operations. The bank invests in AI-driven products and services, particularly in areas like mobile banking and customer relationship management. However, the bank acknowledges the potential risks associated with AI, including unintended consequences, technological limitations, and the need for effective internal controls. The bank also mentions the importance of maintaining a competitive position in technology and cybersecurity, which can be impacted by new technological advancements. The bank has a robust information security program and a third-party risk management program to oversee third-party providers, but it notes that these measures do not eliminate all risks.",1.0,"AI in Banking,Customer Service,Operational Efficiency,Cybersecurity,Risk Management,Technology and Innovation",FITB_10_k_FITB_10-K_2024_Q4__sec_021__chunk_0012 | FITB_10_k_FITB_10-K_2024_Q4__sec_021__chunk_0011 | FITB_10_k_FITB_10-K_2024_Q4__sec_021__chunk_0003 | FITB_10_k_FITB_10-K_2023_Q4__sec_177__chunk_0002 | FITB_10_k_FITB_10-K_2024_Q4__sec_174__chunk_0002 | FITB_transcript_2025_Q2__sec_001__chunk_0003,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
FLG,"Flagstar Financial, Inc.","Michael W. Hara: PIK was approximately 10.4% of total revenue and during the 2025, which decreased from where it was in Q3. Approximately 86% of our PIK income in Q4 was attributable to PIK that was part of the original underwriting and not a result of any credit- or performance-related amendment. Nearly 91% of our PIK income in Q4 came from loans that we rated one, two, or three. With respect to the increased focus on software and AI-related investments, we note the following: Over the coming y",0.2,,FLG_transcript_2024_Q4__sec_012__chunk_0000 | FLG_transcript_2024_Q4__sec_072__chunk_0000 | FLG_transcript_2024_Q2__sec_003__chunk_0043,6,8,20251231,199589,153884,4563,Qwen/Qwen2.5-1.5B-Instruct,mps
FNB,Fnb Corp,"•  Record efficiency ratio* of 51.2%.

•  Achieved 1.6% positive operating leverage when 75% of our peers had negative operating leverage.

•  Achieved $7 million in cost savings in 2023, bringing total cumulative 5-year cost savings to $76 million.

•  Continued investment in digital channels, machine learning and AI to scale the organization.

•  Progressing on the buildout of FNB Financial Center in the Hill District in Pittsburgh which will consolidate regional operations and create efficien",0.2,,FNB_def_14a_FNB_DEF14A_2024_Q2__sec_077__chunk_0000 | FNB_transcript_2025_Q2__sec_002__chunk_0003 | FNB_transcript_2025_Q3__sec_000__chunk_0003,6,8,20251231,305598,269661,3849,Qwen/Qwen2.5-1.5B-Instruct,mps
GS,Goldman Sachs Group Inc,"David Solomon: I appreciate the question, Mike, and I appreciate the way you frame it. And I understand why there's a strong desire to get more from us. What I promise you is you're going to get more over time as we're in a position to give you metrics, to give you targets, and to really explain it. Wanna step back at a high level. Just the one thing that I'd say, and I'd frame it slightly differently than you'd frame it, this is not a new era for Goldman Sachs. One GS 3.0 is not gonna transform",0.2,,GS_transcript_2024_Q4__sec_031__chunk_0000 | GS_transcript_2025_Q4__sec_031__chunk_0000 | GS_transcript_2025_Q2__sec_000__chunk_0003,6,8,20251231,644997000,438331000,8737000,Qwen/Qwen2.5-1.5B-Instruct,mps
HBAN,Huntington Bancshares Inc,"Huntington Bancshares Inc (HBAN) acknowledges that the use of AI exposes the bank to inherent risks that may result in material harm. The bank relies on third parties for business infrastructure and may be subject to compliance risks, including regulatory actions and changes in accounting policies. The bank also mentions that AI use is subject to evolving laws and regulations, and there is a possibility of not being able to anticipate how to respond to these rapidly developing laws and regulations.",1.0,"AI Risks,Regulatory Compliance,Data Privacy,Operational Efficiency,Competitive Advantage,Customer Trust",HBAN_10_k_HBAN_10-K_2025_Q4__sec_031__chunk_0027 | HBAN_10_k_HBAN_10-K_2025_Q4__sec_027__chunk_0046 | HBAN_def_14a_HBAN_DEF14A_2024_Q2__sec_169__chunk_0045 | HBAN_10_k_HBAN_10-K_2024_Q4__sec_032__chunk_0023 | HBAN_10_k_HBAN_10-K_2024_Q4__sec_032__chunk_0024,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
JPM,Jpmorgan Chase & Co,"banking products. In addition, advocacy by non-banking competitors for exemptions from regulatory requirements could significantly disadvantage traditional financial institutions. The failure of any of JPMorganChase’s businesses to meet the expectations of clients and customers, whether due to general market conditions, under-performance, a decision not to offer a particular product or service, changes in client and customer expectations or other factors, could affect JPMorganChase’s ability to",0.2,,JPM_10_k_JPM_10-K_2025_Q4__sec_030__chunk_0011 | JPM_10_k_JPM_10-K_2025_Q4__sec_030__chunk_0012 | JPM_10_k_JPM_10-K_2025_Q4__sec_030__chunk_0013,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
KEY,Keycorp,"KeyCorp (KEY) says that they use AI, including through third parties, in connection with their business and operations. The use of AI exposes the bank to inherent risks that may adversely impact KeyCorp. The legal and regulatory environment relating to AI is uncertain and evolving, and any changes to applicable laws and regulations could require changes to their use of AI technology and could cause an increase in associated costs and expenses. The bank may also be unsuccessful in realizing the intended benefits of AI or otherwise enhancing their business or operations and their competitors may incorporate AI in their businesses.",1.0,"AI use in banking,Legal and regulatory risks,AI governance,Customer-facing AI,Operations efficiency,Vendor/partner mentions,Measurable outcomes",KEY_10_k_KEY_10-K_2025_Q4__sec_016__chunk_0042 | KEY_transcript_2025_Q4__sec_052__chunk_0000 | KEY_transcript_2025_Q1__sec_052__chunk_0000 | KEY_def_14a_KEY_DEF14A_2025_Q2__sec_026__chunk_0004,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
MS,Morgan Stanley,"Morgan Stanley (MS) says that the need for capital markets and structuring expertise in the AI ecosystem is clear. They see themselves playing an intermediary role in helping clients manage and allocate capital, including in equity underwriting, project finance, and M&A. MS also mentions that they will lean into the art of making sure they get the right balance in their AI strategies.",1.0,"AI strategy,AI use cases,investment/spend,governance or controls,customer-facing AI,operations efficiency,vendor/partnership mentions,measurable outcomes",MS_transcript_2025_Q4__sec_017__chunk_0002 | MS_transcript_2025_Q3__sec_003__chunk_0005 | MS_transcript_2024_Q3__sec_003__chunk_0021 | MS_transcript_2024_Q3__sec_003__chunk_0005 | MS_transcript_2024_Q4__sec_002__chunk_0002,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
MTB,M&T Bank Corp,"(either directly or through bank partnerships), or products that may be viewed as substitutes for traditional banking products, and may in the future be able to provide additional services by obtaining a bank-like charter, such as the OCC’s financial technology company charter. In addition, the emergence, adoption and evolution of new technologies that do not require intermediation, including distributed ledgers such as digital assets and blockchain, as well as advances in robotic process automa",0.2,,MTB_10_k_MTB_10-K_2025_Q4__sec_012__chunk_0050 | MTB_10_k_MTB_10-K_2024_Q4__sec_012__chunk_0070 | MTB_10_k_MTB_10-K_2025_Q4__sec_012__chunk_0070,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
NTRS,Northern Trust Corp,"Northern Trust uses a variety of machine learning and artificial intelligence solutions to process transactional activity more efficiently and to mitigate risk. These uses currently include, among others, digitizing documents, detecting anomalous, fraudulent transactions, and training services teams on operational processes. Regulation of AI is rapidly evolving in the U.S. and worldwide as legislators and regulators are increasingly focused on these powerful emerging technologies. The technologies underlying AI and its uses are subject to a variety of laws and regulations, including intellectual property, privacy, data protection, cybersecurity, consumer protection, competition, and equal opportunity laws, and are expected to be subject to increased regulation and new laws or new applications of existing laws and regulations.",1.0,"AI use cases,Regulatory compliance,Risk management,Data privacy and security,Operational efficiency",NTRS_10_k_NTRS_10-K_2024_Q4__sec_039__chunk_0003 | NTRS_transcript_2024_Q2__sec_061__chunk_0001 | NTRS_transcript_2025_Q2__sec_001__chunk_0001,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
ONB,Old National Bancorp,"Old National Bancorp (ONB) says that the use and deployment of artificial intelligence solutions may introduce operational and control risks, including the risk of potential errors in automated decision-making, challenges in oversight and accountability, increased vulnerability to system failures or cyber incidents, and the risk that these technologies may not perform as intended under complex or unforeseen circumstances. The evolving legal, regulatory, and compliance framework for artificial intelligence both in the U.S. and internationally may impact our ability to protect our own data and intellectual property against infringing use and could require changes in our implementation of artificial intelligence technology and increase our compliance costs and the risk of non-compliance. Our efforts to evolve our governance, risk management, and control frameworks to manage the novel and amplified risks from our use of artificial intelligence may be insufficient or ineffective, which could expose us to operational disruptions, legal and regulatory sanctions, reputational harm, and adverse financial impacts.",1.0,"AI Risks,Regulatory Compliance,Operational Risks,Governing AI",3832,6,8,20251231,71771976,55594013,745732,Qwen/Qwen2.5-1.5B-Instruct,mps
PB,Prosperity Bancshares Inc,"litigation, regulatory fines, penalties or other sanctions. Furthermore, notwithstanding the proliferation of technology and technology-based risk and control systems, the Company’s business ultimately relies on people as its greatest resource, and the Company is subject to the risk that they make mistakes or engage in violations of applicable policies, laws, rules or procedures that in the past have not, and in the future may not always be prevented by the Company’s technological processes or b",0.2,,PB_10_k_PB_10-K_2024_Q4__sec_013__chunk_0016 | PB_10_k_PB_10-K_2024_Q4__sec_013__chunk_0017 | PB_10_k_PB_10-K_2024_Q4__sec_021__chunk_0004,6,8,20251231,38458815,28768719,556320,Qwen/Qwen2.5-1.5B-Instruct,mps
PNC,"Pnc Financial Services Group, Inc.","PNC Financial Services Group, Inc. (PNC) has a reputation for strategic vision and entrepreneurism in the technology and artificial intelligence industries. The Board believes these skills are particularly valuable to PNC as it continues to invest in new product innovation and growth. PNC has invested in new products such as PNC Claim Predictor, which uses AI and machine learning to help healthcare organizations proactively identify inaccurate insurance claims. PNC has also acquired $16.6 billion in capital commitments facilities from Signature Bridge Bank, N.A., building on PNC's suite of offerings for the private equity industry. PNC has also focused on cybersecurity, with a 95% reduction in reported text-based phishing incidents. PNC has also focused on operational resilience, using new technology from Ookla, LLC to detect outages and service issues in near real-time. PNC has also focused on developing and promoting high-performing employees through effective career movement and development.",1.0,"AI Strategy,Use Cases,Investment/Spend,Governance/Controls,Customer-Facing AI,Operations Efficiency,Vendor/Partnership Mentions,Measurable Outcomes",PNC_def_14a_PNC_DEF14A_2024_Q2__sec_113__chunk_0000 | PNC_def_14a_PNC_DEF14A_2024_Q2__sec_197__chunk_0002 | PNC_def_14a_PNC_DEF14A_2024_Q2__sec_198__chunk_0001 | PNC_def_14a_PNC_DEF14A_2025_Q2__sec_118__chunk_0000 | PNC_10_k_PNC_10-K_2025_Q4__sec_025__chunk_0060 | PNC_10_k_PNC_10-K_2024_Q4__sec_025__chunk_0025,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
PNFP,Pinnacle Financial Partners Inc,"Pinnacle Financial Partners Inc (PNFP) says that AI is already contributing to cost efficiencies, particularly in fraud mitigation and automation. The impact is expected to keep overall expense trends favorable rather than deliver step-change reductions. The company is also investing in AI for payment and digital asset solutions, including support for stablecoin initiatives.",1.0,"AI in banking,Cost efficiency,Fraud mitigation,Automation,Payment solutions,Digital asset solutions,Stablecoin initiatives",35583 | 35583 | 35583 | 35583 | 35583 | 35583 | 35583 | 35583,6,8,20251231,57636946,47876135,689186,Qwen/Qwen2.5-1.5B-Instruct,mps
RF,Regions Financial Corp,"Regions Financial Corp (RF) says that the development and use of AI presents risks and challenges that may impact their business. The company is concerned about the potential negative impact on their revenue and ability to effectively compete with traditional and non-traditional financial services companies, including fintechs. The Board includes members with experience in business operations and technology, which allows them to oversee efforts to innovate and keep pace with technological changes.",1.0,"AI Risks,Competitive Advantage,Technology and Innovation,Board Experience",RF_transcript_2025_Q3__sec_061__chunk_0000 | RF_10_q_RF_10-Q_2025_Q1__sec_007__chunk_0004 | RF_10_q_RF_10-Q_2025_Q2__sec_007__chunk_0004 | RF_10_q_RF_10-Q_2025_Q3__sec_007__chunk_0004 | RF_def_14a_RF_DEF14A_2024_Q2__sec_074__chunk_0000 | RF_def_14a_RF_DEF14A_2025_Q2__sec_071__chunk_0000,6,0,,,,,Qwen/Qwen2.5-1.5B-Instruct,mps
RJF,Raymond James Financial Inc,"Raymond James Financial Inc (RJF) is emphasizing the importance of a single platform approach for financial institutions, particularly in the context of digital banking. They highlight the need for a strong technology backbone to support the development and distribution of AI solutions. The bank also mentions the potential for AI to accelerate brownfield replacement opportunities for digital banking, as well as the need for effective governance and risk management processes to mitigate potential risks associated with AI development and deployment.",1.0,"AI Strategy,Digital Banking,Governance,Risk Management,Customer Experience,Product Development,Technology Integration",33893 | 33893 | 33893 | 33893 | 33893 | 33893 | 33893 | 33893,6,8,20251231,43374103,39278356,623424,Qwen/Qwen2.5-1.5B-Instruct,mps
SCHW,Schwab Charles Corp,"their enterprise environment is so powerful, and customers like Bosch were coming forward and Roche to be able to demonstrate the true benefits of Gaudi and Xeon plus Gaudi. The road map is in good shape. The Gaudi 3, Falcon Shores in '25. We're also seeing that the industry wants to open alternatives. And we announced our AI networking initiative, Ultra Ethernet consortium standardizing on scale up and scale out to Ethernet, increasing work for abstract levels of AI development with PyTorch, an",0.2,,SCHW_transcript_2024_Q1__sec_003__chunk_0009 | SCHW_transcript_2024_Q1__sec_003__chunk_0012 | SCHW_transcript_2024_Q1__sec_003__chunk_0026,6,8,20251231,82820,58170,909,Qwen/Qwen2.5-1.5B-Instruct,mps
