theme_tag,theme_label,ticker,bank_name,source_type,period_year,period_quarter,chunk_id,section_title,snippet,source_path_or_url
governance,governance,C,Citigroup Inc,transcript,2025,4,C_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...bal divestitures. The call detailed a continued capital return focus, including policy for buffer management and plans for ongoing share buybacks in 2026. Jane Fraser said the OCC's termination of Article 17 of the consent order reflects external validation of ope...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/C_2025_Q4.txt
investment_spend,AI investment and spend,BK,Bank of New York Mellon Corp,transcript,2025,4,BK_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...c initiatives, including deepened multi-product client penetration and platform investments, position BK to deliver higher value from existing relationships and pursue new digital and front-to-back client capabilities. The company confirmed that 10% of 2025 sales...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/BK_2025_Q4.txt
investment_spend,AI investment and spend,ZION,"Zions Bancorporation, National Association",transcript,2025,4,ZION_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...management, and disciplined expense growth that included significant strategic investments. Tangible book value per share grew by 21%, reflecting sustained capital build, while the common equity Tier 1 ratio advanced to 11.5%. Loan growth owed to targeted commerc...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ZION_2025_Q4.txt
investment_spend,AI investment and spend,MS,Morgan Stanley,transcript,2025,4,MS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...acquisitions. Management cited accelerating client inflows, increased share in investment banking and markets, and ongoing global expansion as primary growth levers. Structural efficiency gains were credited to technology investments and enhanced AI adoption acro...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/MS_2025_Q4.txt
investment_spend,AI investment and spend,SYF,Synchrony Financial,transcript,2025,4,SYF_transcript_2025_Q4__sec_000__chunk_0004,Transcript,"...S impact from new growth programs, reserves for asset expansion, and technology investment. Capital ratios, though reduced, remain robust by management’s own benchmarks, and the company’s funding mix continues to heavily favor direct deposits over brokered alterna...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/SYF_2025_Q4.txt
investment_spend,AI investment and spend,GS,Goldman Sachs Group Inc,transcript,2025,4,GS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...spending targeted toward revenue-generating transaction activity and technology investments. The executive team outlined an ability to redeploy resources freed by regulatory change into growth investments, rather than solely bottom-line enhancement. Solomon addres...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/GS_2025_Q4.txt
measurable_outcomes,measurable outcomes,BK,Bank of New York Mellon Corp,transcript,2025,4,BK_transcript_2025_Q4__sec_000__chunk_0003,Transcript,...rgin growth and further digital transformation. Management reported broad-based improvements across fee and net interest income and stressed the company’s ability to drive operational leverage and maintain strong capital deployment discipline. Strategic initiative...,/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/BK_2025_Q4.txt
measurable_outcomes,measurable outcomes,ZION,"Zions Bancorporation, National Association",transcript,2025,4,ZION_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...rong sequential and year-over-year improvements in net income, driven by rising revenues, effective funding mix management, and disciplined expense growth that included significant strategic investments. Tangible book value per share grew by 21%, reflecting sustai...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ZION_2025_Q4.txt
measurable_outcomes,measurable outcomes,MS,Morgan Stanley,transcript,2025,4,MS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"MS +1.21% ) posted record annual results across revenue, earnings, and client assets, citing disciplined execution and successful integration of acquisitions. Management cited accelerating client inflows, increased share in investme...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/MS_2025_Q4.txt
measurable_outcomes,measurable outcomes,SYF,Synchrony Financial,transcript,2025,4,SYF_transcript_2025_Q4__sec_000__chunk_0004,Transcript,"on both the consumers and businesses, there's no question this would be very bad for the economy."" SUMMARY Synchrony Financial ( SYF +2.95% ) reported record purchase volume in the quarter, with strengthening in co-brand, digital, and diversified purchase...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/SYF_2025_Q4.txt
measurable_outcomes,measurable outcomes,GS,Goldman Sachs Group Inc,transcript,2025,4,GS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...s will continue to be actively managed, with increased spending targeted toward revenue-generating transaction activity and technology investments. The executive team outlined an ability to redeploy resources freed by regulatory change into growth investments, rat...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/GS_2025_Q4.txt
operations_efficiency,operations efficiency,BK,Bank of New York Mellon Corp,transcript,2025,4,BK_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...margin target. Expense growth is being closely managed through a combination of efficiency gains and agile reinvestment, with a commitment to harvest roughly $500 million annually for business growth. AI and digital transformation are framed as capacity multiplier...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/BK_2025_Q4.txt
operations_efficiency,operations efficiency,ZION,"Zions Bancorporation, National Association",transcript,2025,4,ZION_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"value growth. Summary Zions Bancorporation ( ZION +0.05% ) highlighted strong sequential and year-over-year improvements in net income, driven by rising revenues, effective funding mix management, and disciplined expense growth that included significant...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ZION_2025_Q4.txt
operations_efficiency,operations efficiency,MS,Morgan Stanley,transcript,2025,4,MS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...and markets, and ongoing global expansion as primary growth levers. Structural efficiency gains were credited to technology investments and enhanced AI adoption across business lines. Substantial excess capital was directed toward increased dividends, buybacks, a...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/MS_2025_Q4.txt
operations_efficiency,operations efficiency,SYF,Synchrony Financial,transcript,2025,4,SYF_transcript_2025_Q4__sec_000__chunk_0004,Transcript,"on both the consumers and businesses, there's no question this would be very bad for the economy."" SUMMARY Synchrony Financial ( SYF +2.95% ) reported record purchase volume in the quarter, with strengthening in co-brand, digital, and diversified purchase...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/SYF_2025_Q4.txt
operations_efficiency,operations efficiency,GS,Goldman Sachs Group Inc,transcript,2025,4,GS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...ant progress in funding diversification, and enhancements to risk and operating efficiency, enabled in part by targeted implementation of AI-driven process redesign under the One Goldman Sachs 3.0 program. Goldman Sachs expects its wealth long-term fee-based net i...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/GS_2025_Q4.txt
risk_controls,risk controls,SYF,Synchrony Financial,transcript,2025,4,SYF_transcript_2025_Q4__sec_000__chunk_0004,Transcript,"on both the consumers and businesses, there's no question this would be very bad for the economy."" SUMMARY Synchrony Financial ( SYF +2.95% ) reported record purchase volume in the quarter, with strengthening in co-brand, digital, and diversified purchase...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/SYF_2025_Q4.txt
risk_controls,risk controls,KEY,Keycorp,transcript,2025,4,KEY_transcript_2025_Q4__sec_001__chunk_0003,Satish Dhanasekaran,"Keysight AI Data Center Builder won the Data Center Innovation Best Product Award at the European Conference on Connectivity in October 2025. Turning to wireless, orders and revenue grew high...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/KEY_2025_Q4.txt
risk_controls,risk controls,FITB,Fifth Third Bancorp,transcript,2025,4,FITB_transcript_2025_Q4__sec_000__chunk_0004,Transcript,"...affra, now part of XP Control LLC, aiming for long-term alignment and corporate governance reinforcement. Management highlighted proprietary technology deployment and adviser augmentation through AI as key strategic enablers, noting record adviser engagement with...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/FITB_2025_Q4.txt
risk_controls,risk controls,C,Citigroup Inc,transcript,2025,4,C_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...said the OCC's termination of Article 17 of the consent order reflects external validation of operational improvement and regulatory progress. AI-driven process improvements have exceeded 70% adoption among staff, supporting broad efficiency gains. Banking achieve...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/C_2025_Q4.txt
risk_controls,risk controls,COF,Capital One Financial Corp,transcript,2025,4,COF_transcript_2025_Q4__sec_006__chunk_0002,Richard Fairbank,"...by delivering breakthrough experiences like customizable credit card limits and controls, automated expense receipt capture, real-time blocks for out-of-policy spend, reconciling spend data with internal budgeting, catching payment fraud and errors by matching inv...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/COF_2025_Q4.txt
use_cases,concrete use cases,MS,Morgan Stanley,transcript,2025,4,MS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...Structural efficiency gains were credited to technology investments and enhanced AI adoption across business lines. Substantial excess capital was directed toward increased dividends, buybacks, and ongoing investment in technology and client acquisition. CEO Pick...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/MS_2025_Q4.txt
use_cases,concrete use cases,GS,Goldman Sachs Group Inc,transcript,2025,4,GS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"Updates also included expanded capital return initiatives, significant progress in funding diversification, and enhancements to risk and operating efficiency, enabled in part by targeted implementation of AI-driven process redesign under the One Goldman Sachs...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/GS_2025_Q4.txt
use_cases,concrete use cases,ONB,Old National Bancorp,transcript,2025,4,ONB_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...focus on investment in automation, integrated marketing platforms, and expanded AI capabilities to drive future growth and operational efficiency. Personalized direct mail solutions and proprietary data-driven technology platforms are being leveraged to enhance c...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/ONB_2025_Q4.txt
use_cases,concrete use cases,KEY,Keycorp,transcript,2025,4,KEY_transcript_2025_Q4__sec_001__chunk_0003,Satish Dhanasekaran,"Keysight AI Data Center Builder won the Data Center Innovation Best Product Award at the European Conference on Connectivity in October 2025. Turning to wireless, orders and revenue grew high...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/KEY_2025_Q4.txt
use_cases,concrete use cases,BAC,Bank Of America Corp,transcript,2025,4,BAC_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...logy and AI, with measurable productivity improvements and further reduction in operations headcount anticipated through ongoing digitalization initiatives. The company maintained a CET1 ratio above regulatory minimums despite a one-time accounting-driven reductio...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/BAC_2025_Q4.txt
vendors_partnerships,vendors and partnerships,BK,Bank of New York Mellon Corp,transcript,2025,4,BK_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...with a commitment to harvest roughly $500 million annually for business growth. AI and digital transformation are framed as capacity multipliers, not mere cost-reduction tools, with Eliza and digital ""employees"" supporting new business models and product delivery...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/BK_2025_Q4.txt
vendors_partnerships,vendors and partnerships,MS,Morgan Stanley,transcript,2025,4,MS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...Structural efficiency gains were credited to technology investments and enhanced AI adoption across business lines. Substantial excess capital was directed toward increased dividends, buybacks, and ongoing investment in technology and client acquisition. CEO Pick...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/MS_2025_Q4.txt
vendors_partnerships,vendors and partnerships,SYF,Synchrony Financial,transcript,2025,4,SYF_transcript_2025_Q4__sec_000__chunk_0004,Transcript,"...tal, and diversified purchase segments. Management disclosed that 97% of top 25 partner interest and fees are contractually renewed through 2028, and described substantial progress in scaling digital wallet initiatives. Outlook for 2026 targets mid-single-digit en...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/SYF_2025_Q4.txt
vendors_partnerships,vendors and partnerships,GS,Goldman Sachs Group Inc,transcript,2025,4,GS_transcript_2025_Q4__sec_000__chunk_0003,Transcript,"...nd that, seeing where there are opportunities for us to have capabilities or to partner to serve our clients around these."" Integration of acquired businesses, such as Industry Ventures and Innovator, positions Goldman Sachs among the top global active ETF provide...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/GS_2025_Q4.txt
vendors_partnerships,vendors and partnerships,KEY,Keycorp,transcript,2025,4,KEY_transcript_2025_Q4__sec_001__chunk_0003,Satish Dhanasekaran,"...the industry's priorities. We doubled our 6G collaborations over the past year, partnering with customers on several new applications, including channel sounding, network modeling using digital twins, FR3 spectrum, and advanced MIMO phased antenna design. In aeros...",/Users/omtailor/BUFN403_Capstone/transcripts_final-20260304T030232Z-1-001.zip::transcripts_final/KEY_2025_Q4.txt
